model,mae,rmse,r2,mape,time_sec
ridge,0.28915921156814567,0.4333372123397429,0.8130128270722156,115.9572546721073,0.43173837661743164
linear_regression,0.28916327588425905,0.43333777331752704,0.8130123429424669,115.95871179642157,1.6965136528015137
lasso,0.29138163596767114,0.4380771998999014,0.808899797941033,116.97506540218285,1.504204273223877
