feature,importance
model_encoded,0.6625465932234098
year,0.2076171349492239
odometer,0.05764595825921332
condition_good,0.016054514560064573
fuel_gas,0.013359184405047938
cylinders,0.010961006606193098
drive_fwd,0.010093493442020802
condition_unknown,0.003362485230764324
long,0.0029504224413545387
drive_unknown,0.0024573808283777717
transmission_other,0.0023255252410285085
type_pickup,0.0015113591655750618
title_status_rebuilt,0.0011967153111678052
title_status_salvage,0.0009629424217571683
condition_fair,0.000894522235548275
fuel_other,0.0008589711831874833
type_truck,0.0008183930910127339
manufacturer_mitsubishi,0.0004466749147202415
type_sedan,0.0004330888013523208
manufacturer_toyota,0.00042717968202705606
